school_name,overview_paragraph,language_classes,neighborhood,location,phone_number,website,total_students,Borough
The Cinema School,"The Cinema School offers a rich liberal arts education grounded in creative activity. Filmmaking serves as the core of a strong academic program that prepares students for a wide range of careers. All students take the required courses for an Advanced Regents Diploma which will prepare them for admissions to competitive four-year universities. Competitive colleges love our students! In addition to providing students with essential creative and technological skills, filmmaking also deepens learning by building confidence, responsibility, teamwork, and leadership. We offer a supportive small school community and individualized attention.",French,West Farms-Bronx River,"1551 East 172nd Street, Bronx NY 10472 (40.832508, -73.878191)",718-620-2560,www.thecinemaschool.org,318,BRONX    
Academy for Environmental Leadership,"We are a small, innovative learning community with a collaborative approach to teaching and learning that seeks to empower students to become responsible leaders. We strive to make students part of a global response to preserving our environment. Every student is held to the highest standards and has constant opportunities for intellectual engagement. All students are expected to be college- and career-ready prior to graduation. We welcome parental involvement, which is essential to the success of our school. Our instructional focus is on reading and writing across all content areas. All students are expected to take a math and science course each semester. Our teachers use technology to engage our students and apply learning to the world.",French,Bushwick,"400 Irving Avenue, Brooklyn NY 11237 (40.696457, -73.911751)",718-381-7100,www.aelnyc.org,309,BROOKLYN 
New Directions Secondary School,"New Directions students love our small class sizes and the individualized support they receive in every class. Our course design, which includes access to our schoolÂ’s online learning portal, gives students the opportunity to accelerate their progress through middle school and high school classes. Course programs feature daily opportunities to catch up, receive focused learning support sessions, and help from a team of teachers and mentors. We offer arts instruction in visual arts, music, and dance. Physical Education is offered three times a week and we participate in all CHAMPS and PSAL teams. We also provide daily student advisory sessions, after-school activities with Global Kids and The Leadership Program, as well as paid internships.",Spanish,E. Concourse-Concourse Village,"240 East 172nd Street, Bronx NY 10457 (40.839307, -73.911366)",718-410-4343,www.ndssonline.org,233,BRONX    
Bronx Envision Academy,"Bronx Envision Academy (BEA) empowers students by emphasizing artistic and academic achievement. At BEA, the learning process in all academic disciplines mirrors the artistic process and we believe students learn best by doingÂ—imagination is the key to success. We promote student success in partnership with teaching artists, arts organizations, and local businesses. Through our partnership with the College Bound Initiative, our students research colleges and tour colleges beginning in ninth grade. Dedicated to providing students with the resources necessary for their success, BEA enables students to master challenging coursework to graduate as creative and analytical thinkers ready for college and beyond.",Spanish,Crotona Park East,"1619 Boston Road, Bronx NY 10460 (40.836245, -73.890591)",718-589-1590,www.BronxEnvision.org,396,BRONX    
High School for Civil Rights,"This is a dynamic institution that provides high-quality programs that emphasize civil rights issues. Students develop skills in lyrical composition, writing, musical recording, and producing. Students perform at school functions and talent shows. Students travel to courthouses in New York and Washington DC, compete in Moot Court competitions, and serve as judges, attorneys, jurors, bailiffs, and clerks in the AcademyÂ’s Youth Court. A courtroom is also available for mock trials and law-related classes. Whether your plans are to enroll in a four-year university or enroll in a law enforcement or legal training program, the High School for Civil Rights provides students with the academic background and workplace exposure needed for success.",Spanish,East New York,"400 Pennsylvania Avenue, Brooklyn NY 11207 (40.666868, -73.895122)",718-922-6289,schools.nyc.gov/schoolportals/19/k504,293,BROOKLYN 
Boys and Girls High School,"We are Â‘The Pride and Joy of Bed-Stuy!Â’ With effective instruction, along with a welcoming learning environment, we are committed to developing young citizens who are prepared socially and academically for the 21st century. We are organized into four Small Learning Communities Â– Law, Business & Technology, Entertainment Arts, and Freshman Prep. Our Small Learning Communities are aligned with our belief that children enjoy learning with curricula that are relevant, differentiated, and speak directly to their interests. A CARE Center was created to provide wrap-around services to meet our studentsÂ’ needs. Students are also provided with CTE opportunities.",Spanish,Bedford-Stuyvesant,"1700 Fulton Street, Brooklyn NY 11213 (40.678478, -73.931604)",718-467-1700,schools.nyc.gov/SchoolPortals/16/K455,383,BROOKLYN 
El Puente Academy for Peace and Justice,"We are a small, innovative learning community that promotes comprehensive academic excellence for all students while inspiring and nurturing leadership for peace and justice. Our state-of-the-art facility allows for a creative and intellectually challenging environment where every student thrives. Our project-based curriculum is designed to prepare students to be active citizens and independent thinkers who share a passion for transforming their communities and the world into a better place. Our trimester system allows students to complete most of their high school credits by the 11th grade, opening opportunities for exciting internships and college courses during the school day in the 12th grade.",Spanish,Williamsburg,"250 Hooper Street, Brooklyn NY 11211 (40.70554, -73.955741)",718-387-1125,www.elpuente.us,246,BROOKLYN 
Life Academy High School for Film and Music,"At Life Academy High School for Film and Music, we infuse the study of film, filmmaking, video/audio production, and new media into student-centered, project-based courses. We focus on building communication skills in writing, presentation, and creativity. We seek students who want to learn in an exciting atmosphere of excellence and creative collaboration.",Spanish,Gravesend,"2630 Benson Avenue, Brooklyn NY 11214 (40.593028, -73.986313)",718-333-7750,schools.nyc.gov/SchoolPortals/21/K559,289,BROOKLYN 
Francis Lewis High School,"Our mission is to prepare every student for success in college, career, and life. Through a strong sense of community, students are encouraged and supported to reach their full potential. Our unique guidance approach ensures personalized attention to address studentsÂ’ individualized needs. Our state-of-the-art data systems monitor student progress and achievement. As a result, our students are academically prepared and challenged for the future. In our college-bound culture, students thrive in a nurturing and secure learning environment that focuses on developing 21st century leaders.","American Sign Language, Arabic, Chinese (Mandarin), French, Greek, Italian, Japanese, Korean, Latin, Spanish",Auburndale,"58-20 Utopia Parkway, Fresh Meadows NY 11365 (40.740875, -73.795049)",718-281-8200,www.francislewishs.org,"4,289",QUEENS   
Bronx International High School,"The mission of the Bronx International High School is to empower our students to become active participants in todayÂ’s interdependent and diverse world. We accomplish this by helping enhance our studentsÂ’ cultural awareness, English and native language proficiencies, and intellectual and collaborative abilities. We are dedicated to serving the academic and social needs of recently immigrated young people and their families. By critically analyzing and responding to complex world issues, students achieve academic, personal, and professional success as they become advocates for themselves and their communities.",French,Morrisania-Melrose,"1110 Boston Road, Bronx NY 10456 (40.827455, -73.90392)",718-620-1053,www.BronxInternationalHS.com,404,BRONX    
Automotive High School,"Our school strongly believes that student choice leads to student success. As such, students have an opportunity to choose from four pathways that lead to graduation: Engineering, Law Enforcement, Automotive Applied Science, or Business Entrepreneurship. Our motto, Â‘Experience teaches Â– so that we may fly by our own wings,Â’ speaks to our dedication to empowering students in creating and following the academic and social paths that will lead them to success.",Italian,Williamsburg,"50 Bedford Avenue, Brooklyn NY 11222 (40.721448, -73.953328)",718-218-9301,www.automotivehs.org,372,BROOKLYN 
Urban Assembly Institute of Math and Science for Young Women,"Through a single-sex environment, our school leverages our nurturing atmosphere to foster achievement in math, science, and technology. Our college-preparatory curriculum simultaneously develops studentsÂ’ social-emotional learning skills while providing intellectual challenges. Our rich network of partners have internship opportunities that connect our students with role models and mentors who inspire them to challenge their self-perceptions and counter cultural stereotypes of women in math and science. Our after-school programs provide unique opportunities for students to explore their interests in fields involving math and science. UAI graduates possess the required skills and knowledge leading to college graduation and STEM careers",Spanish,DUMBO-Downtown Brooklyn,"283 Adams Street, Brooklyn NY 11201 (40.694629, -73.988323)",718-260-2300,www.uainstitute.org,476,BROOKLYN 
Brooklyn Studio Secondary School,"Brooklyn Studio Secondary School believes that all students are capable of being strategic learners. We believe in teaching students how to learn. Our school community works tirelessly to achieve this through a curriculum that challenges and supports all of our students through individualized learning. Although considered a small school, we pride ourselves on offering programs comparable to a large school. Our students have the opportunity to take numerous electives, including Advanced Placement (AP) courses and CUNY College Now. Additionally, students can participate in extracurricular activities including clubs, performance ensembles, and athletic teams.","American Sign Language, Italian, Spanish",Bensonhurst West,"8310 21St Avenue, Brooklyn NY 11214 (40.60498, -73.995084)",718-266-5032,www.brooklynstudio.org,917,BROOKLYN 
Nelson Mandela High School,"The mission of the Nelson Mandela School for Social Justice is to create life-long, socially conscious leaders who use education as a powerful tool to change the world. All work within our community is guided by our core values: service, perseverance, leadership, respect, and reflection. We explore social justice themes through a challenging and engaging academic curriculum as students develop critical thinking, analytic, and problem solving skills. Service learning, collaborative projects, travel abroad, and internships will prepare our students for the demands of college and careers, and define their purpose and responsibility as global citizens.",Spanish,Bedford-Stuyvesant,"1700 Fulton Street, Brooklyn NY 11213 (40.678478, -73.931604)",718-804-6805,www.mandelaschoolnyc.org,212,BROOKLYN 
Humanities Preparatory Academy,"We provide a diverse student body with a personalized education that emphasizes participatory democracy, inquiry-based learning, performance-based assessment, and community service. As part of our mission and commitment to diversity, we accept transfer students who are seeking an alternative, more individualized educational setting.","Italian, Japanese, Portuguese, Spanish",Chelsea-Union Sq,"351 West 18th Street, Manhattan NY 10011 (40.743407, -74.00254)",212-929-4433,www.humanitiesprep.org,209,MANHATTAN
Lower Manhattan Arts Academy,"LoMA is a small, multicultural school that focuses on academic excellence through the arts. We support each studentÂ’s intellectual, emotional, and cultural growth with the goal of success in a four-year college or career. Our students take additional math, science, reading, internship, and arts classes. Students work with artists during academic classes to create high quality, standards-based learning performances. We partner with many Lower East Side arts organizations so that every student takes part in an Extended Day Program at least twice a week. To support our studentsÂ’ success at meeting these higher standards, we maintain an intimate, nurturing community with a large number of adults watching over and taking care of our students.",Spanish,Chinatown,"350 Grand Street, Manhattan NY 10002 (40.717329, -73.989329)",212-505-0143,www.lomanyc.net,353,MANHATTAN
Brooklyn Preparatory High School,"We are a small, college preparatory learning environment where academic rigor is accompanied by academic and affective support. Our mission is to ensure that all students develop the knowledge, skills, and habits of mind and work to succeed in a challenging college program and a rewarding career. Our math and science classes focus on real-world themes and problems that expand studentsÂ’ understanding of the world around them; the English and social studies curriculum emphasizes articulating complex ideas and arguments in writing and speaking. Our arts program integrates traditional art practices with technology while connecting students to the artistic community in Williamsburg.",Spanish,Williamsburg,"257 North 6th Street, Brooklyn NY 11211 (40.715561, -73.954815)",718-486-2550,www.brooklynprephs.org,513,BROOKLYN 
Bronx Early College Academy for Teaching & Learning,"Bronx Early College Academy (BECA) is an International Baccalaureate (IB) World school offering the IB Diploma Programme. Our curriculum meets the needs of highly motivated students through thought-provoking instruction in a caring and inclusive school environment. In addition to traditional academics, students participate in a range of educational activities including community service, international and college trips, project-based learning intensives, a film program, and computer science program. A full-time Director of College Counseling offers intensive support for both students and families towards college readiness, application, and financial aid process. Our goal is to prepare students to access superior post-secondary experiences.","French, Spanish",E. Concourse-Concourse Village,"250 East 164th Street, Bronx NY 10456 (40.828009, -73.917705)",718-681-8287,www.bronxearlycollegeacademy.org,504,BRONX    
Brooklyn College Academy,"As an Early College High School, our unique, successful collaboration with Brooklyn College enables highly motivated students with diverse backgrounds and interests to move from ninth to twelfth grade within a challenging academic atmosphere. We encourage our students to function independently in educational settings outside the school building and in a college campus environment. We are a collaborative community of leaders and learners whose learning environment is characterized by equity and excellence.",Spanish,Windsor Terrace,"350 Coney Island Avenue, Brooklyn NY 11218 (40.649055, -73.972312)",718-853-6184,www.brooklyncollegeacademy.com,596,BROOKLYN 
Explorations Academy,"Our school offers a unique program that involves the participation of experts in various fields who work with our students in project-based learning at cultural institutions and colleges. Beginning in grade ten, students take high school classes on college campuses. In grade eleven, students may become eligible to register for college courses.",Spanish,Crotona Park East,"1619 Boston Road, Bronx NY 10460 (40.836245, -73.890591)",718-893-6173,www.explorationsacademy.org,363,BRONX    
"Celia Cruz Bronx High School of Music, The","The Celia Cruz Bronx High School of Music is a small school for students seriously interested in continuing their music studies while pursuing a challenging academic course of study. In addition to music instruction, students are expected to complete course requirements that lead to an Advanced Regents Diploma, college acceptance, and career readiness. The school curriculum requires a commitment of four years of music instruction.",Spanish,Van Cortlandt Village,"2780 Reservoir Avenue, Bronx NY 10468 (40.869061, -73.897066)",718-329-8550,www.ccbxhsm.org,425,BRONX    
Bayside High School,"A New Visions School combining college-focused academics; professional learning experiences & internships; engaging clubs, teams, and events with personalized support designed to ensure success in college and beyond. Focus on postsecondary achievement begins at orientation and continues beyond graduation through our alumni network. Since 1936, Bayside has striven to ensure students are prepared for college and meaningful careers in a school of choice and vibrant community center.","Chinese (Mandarin), French, Japanese, Korean, Latin, Spanish",Bayside-Bayside Hills,"32-24 Corporal Kennedy Street, Bayside NY 11361 (40.771398, -73.781041)",718-229-7600,www.baysidehighschool.org,"3,306",QUEENS   
Art and Design High School,"For nearly 80 years, our school has nurtured talented students to become accomplished professionals. Our state-of-the-art facilities enable students to excel in digital media. We are a CTE high school located in New York CityÂ’s design center. Our art teachers are also professional artists and our industry partners collaborate to ensure that students learn software programs for their field of study. Our community of scholars fosters our studentsÂ’ creative and academic talents. We are nationally renowned for our wide range of design programs. Our graduates are well prepared to attend the college of their choice and become leaders in the arts and the community.","French, Spanish",E. Midtown,"231-249 East 56th Street, Manhattan NY 10019 (40.759248, -73.967204)",212-752-4340,www.artanddesignhs.org,"1,442",MANHATTAN
Business Of Sports School (BOSS),"We are a small CTE high school. We expect our students to learn the fundamentals of business and entrepreneurship and to graduate prepared for college and careers as business analysts, marketers, entrepreneurs, and journalists. Students have many opportunities for real-world learning and building their own personal networks in the sports management industry through internships and other work-based learning activities. Our graduates may also earn industry certifications in Microsoft Office, Business Management, and Entrepreneurship.","French, Spanish",Clinton,"439 West 49th Street, Manhattan NY 10019 (40.763655, -73.990318)",212-246-2183,www.nycBOSS.org,448,MANHATTAN
Bronx Theatre High School,"We offer students the opportunity to earn a Regents diploma with an arts endorsement by adopting the model of a theatre company. Our students stage plays, musicals, and their own original works to explore the universal themes of the human experience and acquire skills and knowledge to meet the Learning Standards outlined by the NY State Board of Regents. We utilize project-based learning and engage students as artists-at-work. Our program provides the college and career readiness skills for students to succeed in a post-secondary setting. Teaching artists work with teachers to create an ensemble for students to work together, learn together, and become strong contributors to society.","French, Italian, Spanish",Spuyten Duyvil-Kingsbridge,"99 Terrace View Avenue, Bronx NY 10463 (40.877379, -73.912686)",718-329-2902,www.bxtheatre.org,383,BRONX    
Chelsea Career and Technical Education High School,"Chelsea Career and Technical Education High School offers three CTE programs in Graphic Design, Computer Repair/A+, and CISCO Networking. Chelsea also offers several Advanced Placement courses and an opportunity for all students to graduate with an Advanced Regents Diploma and industry certification.",Spanish,SoHo-Tribeca,"131 Avenue Of The Americas, Manhattan NY 10013 (40.72463, -74.005058)",212-925-1080,http://schools.nyc.gov/SchoolPortals/02/M615/default.htm,435,MANHATTAN
EBC High School for Public Service - Bushwick,"EBC High School for Public ServiceÂ–Bushwick is a small school focused on individual excellence, high academic standards, and service to the community. We have an educational culture that instills respect, self-discipline, and strong intellectual values. At EBC, students are offered the opportunity to serve their community and are supported by our staff through an advisory program. Students, staff, and parents/guardians thrive in a school that values personalization in education and prepares students for college and life after high school while nurturing and empowering students to serve as tomorrowÂ’s leaders today!",Spanish,Bushwick,"1155 Dekalb Avenue, Brooklyn NY 11221 (40.694723, -73.929315)",718-452-3440,schools.nyc.gov/SchoolPortals/32/K545,520,BROOKLYN 
"The School for Classics: An Academy of Thinkers, Writers and Performers","We offer a challenging academic curriculum that emphasizes classical literature, academic writing, technology, and self-expression through the performing arts. Our students have the opportunity to master all aspects of performing arts production, including acting, public speaking, stage production, costume design, set design, lighting, production management, and marketing. SMART Boards and student laptops are used in daily instruction. The bi-weekly advisory/college readiness program allows students to work collaboratively and develop strong communication skills. Students attend classes in our fully equipped, state-of-the-art science, and computer labs, which they can also access after school.",Spanish,East New York,"370 Fountain Avenue, Brooklyn NY 11208 (40.67002, -73.874537)",718-277-1069,schools.nyc.gov/SchoolPortals/19/K683,305,BROOKLYN 
Academy for Language and Technology,"The Academy for Language and Technology (ALT) nurtures inquiry learning, character development, and community building. Our focus is to prepare students to compete in the global economy. Students connect technology to real-world experiences via internships and they develop literacy in both Spanish and English. Ninth graders enter one of our three technology-focused programs: media communications, computer networking, or computer technology. Our school environmentÂ—built on community, leadership, and social activismÂ—encourages our students to grow into articulate, responsible citizens.",Spanish,University Heights-Morris Heights,"1700 Macombs Road, Bronx NY 10453 (40.849416, -73.915217)",718-731-0219,schools.nyc.gov/SchoolPortals/09/X365,311,BRONX    
"HERO High (Health, Education, and Research Occupations High School)","At HERO High, students learn how to save lives and serve their communities by preparing for a career as a registered nurse or community health worker. Students take college classes starting in tenth grade and can earn a two-year Associates Degree with help from a small school environment. Our academic program will prepare every student to succeed in college and their career through hands-on, real-world problem solving, advanced work in math and science, and challenging reading and writing tasks in every class. Start your technical training early through internships in clinical nursing and community health work. Sometimes even heroes need extra help, so we offer tutoring in every subject area.",Spanish,Mott Haven-Port Morris,"455 Southern Blvd, Bronx NY 10455 (40.810671, -73.907528)",718-585-8013,schools.nyc.gov/SchoolPortals/07/X259,343,BRONX    
DeWitt Clinton High School,"DeWitt Clinton High School has a rich history of educating students in the Bronx for over 100 years. This comprehensive high school offers a wide variety of programs to fit every studentÂ’s needs. These programs are structured as small learning communities (SLCs) where students choose their program of interest. The SLCs offer a personalized, safe, nurturing environment for learning with its own Assistant Principal, guidance counselor, and support staff. Students benefit from the caring of a small school setting within a large school environment and from the range of instructional programs and activities that only a large school can offer. All students receive a core curriculum and begin their SLC specialty in the ninth grade.","Latin, Spanish",Van Cortlandt Village,"100 West Mosholu Parkway South, Bronx NY 10468 (40.879958, -73.889011)",718-543-1000,www.dwchs.net,"1,694",BRONX    
Belmont Preparatory High School,Belmont Preparatory High School was founded in 2002 for academically talented students. The curriculum is based in the humanities and uses an interdisciplinary approach to challenge our scholars in all subjects so that they are college and career-ready upon graduation.,Spanish,Belmont,"500 East Fordham Road, Bronx NY 10458 (40.859466, -73.888625)",718-733-4559,www.belmontprephs.org,423,BRONX    
Kingsbridge International High School,"Our mission is to serve recent-immigrant English Language Learners and prepare them with the linguistic, academic, and cultural skills needed for success in college and beyond. We integrate language development and content using cooperative learning strategies. Students work together in order to complete in-depth projects and develop their communication skills.",,Van Cortlandt Village,"2780 Reservoir Avenue, Bronx NY 10468 (40.869061, -73.897066)",718-329-8580,schools.nyc.gov/SchoolPortals/10/X268,466,BRONX    
City College Academy of the Arts,The City College Academy of the Arts (CCAA) is an early college school. CCAA focuses on providing academic support that will allow our students to begin taking college courses in the ninth grade so they can graduate high school with 60 college credits from The City College of New York (CCNY). Arts are used to support instruction across subject areas. Instruction is supported by tutors from CCNY and enriched by visits to a variety of cultural sites within New York City.,"Arabic, French, Hebrew, Italian, Japanese, Spanish",Washington Heights N.,"4600 Broadway, Manhattan NY 10040 (40.860951, -73.930082)",212-567-3164,http://schools.nyc.gov/SchoolPortals/06/M293/default.htm,609,MANHATTAN
Leon M. Goldstein High School for the Sciences,Our school is affiliated with Kingsborough Community College. All students study math and science every year and three years of Spanish or Italian as a high school student. Our school is committed to academic excellence in a caring community.,"Italian, Spanish",Manhattan Beach,"1830 Shore Boulevard, Brooklyn NY 11235 (40.578356, -73.934449)",718-368-8500,www.lmghs.org,"1,047",BROOKLYN 
Brooklyn Academy of Science and the Environment,"Brooklyn Academy of Science and the Environment (BASE) is a small Brooklyn New Century High School. Our mission is to create an active learning community that addresses the needs of young people while embracing environmental science, environmental justice, urban ecology, and science research. We use the resources of three campuses (Prospect Park, Brooklyn Botanic Garden, and the Prospect Heights Educational Campus) to create a school that is engaging, academically challenging, and personally meaningful to our students, their parents, faculty and administration, collaborating organizations, and the wider community.","French, Spanish",Crown Heights South,"883 Classon Avenue, Brooklyn NY 11225 (40.669805, -73.960689)",718-230-6363,www.basehighschool.org,427,BROOKLYN 
Repertory Company High School for Theatre Arts,"We offer a college preparatory program and New York CityÂ’s only comprehensive three-part theater arts sequence, where students hone their skills in music, dance, and acting. Students completing our program graduate with an Advanced Regents diploma with Arts Endorsement in Theatre. Our location in Times Square supports our schoolÂ’s focus. Our small size offers students an intimate environment to explore all aspects of theater from production to performance. Students participate in many student productions and a school-wide musical production each year. Our students maintain high academic standards and possess the willingness to explore all the imagination and creativity of theater arts.","Chinese (Cantonese), Dutch, French, German, Italian, Japanese, Spanish",Midtown,"123 West 43rd Street, Manhattan NY 10036 (40.756089, -73.984381)",212-382-1875,www.repertorycompanyhs.org,247,MANHATTAN
Talent Unlimited High School,"We are a small, screened-by-audition school whose students come from culturally diverse backgrounds in all five boroughs. We are a caring, tight-knit school community located on the Upper East Side. Students must audition to demonstrate exceptional talent in the performing arts and be prepared to meet high academic standards. We offer a student-centered, interdisciplinary approach to instruction. Our vision is to cultivate and nurture a community of compassionate, college-ready artists dedicated to lifelong learning and collaboration. Our mission is to empower our collective school community to achieve artistic and academic excellence through arts integration, while actively contributing to a creative and caring learning ensemble.","Italian, Spanish",Lenox Hill-Roosevelt Is,"317 East 67th Street, Manhattan NY 10065 (40.765638, -73.959777)",212-737-1530,www.tuhsnyc.com,509,MANHATTAN
PROGRESS High School for Professional Careers,"PROGRESS High School for Professional Careers is a rich, multi-faceted academic gem with a legacy of academic, athletic, and social excellence. Young men and women learn the art of succeeding in life and hone their leadership skills while experiencing the rewards of collaboration. Our mission is to educate the whole person for life. The mission is supported by an environment that nurtures a belief in the goodness of one another, community building, extracurricular programs, and a commitment to global justice through outreach and service to others in need. College and careers are integrated into all curricula and intensive guidance is provided to every child with the focus on professional careers of the 21st century.",Spanish,Bushwick,"850 Grand Street, Brooklyn NY 11211 (40.711134, -73.938921)",718-387-0228,schools.nyc.gov/SchoolPortals/14/K474,949,BROOKLYN 
Young Women's Leadership School of the Bronx (TYWLS),"Our school community consists of confident and compassionate young women. We specialize in mathematics, science and technology. Personal and academic growth is supported in a strong advisory program. We focus on female adolescent development, positive self-image, effective communication, leadership development, and college awareness. Learning is dynamic and our small class-sizes enable students to experience great success on many levels. The educational experience is enhanced only through strong partnerships with The Young WomenÂ’s Network and the College Bound Initiative. With their support, we are able to replicate the best practices of a private and independent girlÂ’s school and provide a quality education.",Spanish,Mount Hope,"1865 Morris Avenue, Bronx NY 10453 (40.848552, -73.909022)",718-731-2590,www.tywlsbronx.org,329,BRONX    
"New Explorations into Science, Technology and Math High School (NEST+m)","NEST+m is a Citywide G&T K-12 school. Our academically rigorous program has made us one of the finest schools in the city. We are committed to developing each studentÂ’s capacity for academic and intellectual achievement through individual and collaborative learning.. We provide a range of services for students with disabilities including a full-inclusion program. NEST+m students blossom into practitioners: scientists, mathematicians, engineers, artists, writers, historians, musicians, painters, and linguists who approach their studies with passion and purpose. Multiple opportunities exist for students to have internships at local universities in the sciences and the arts.","Chinese (Mandarin), French, Italian, Latin, Spanish",Lower East Side,"111 Columbia Street, Manhattan NY 10002 (40.719416, -73.979581)",212-677-5190,www.nestmk12.net,"1,753",MANHATTAN
Murray Hill Academy,"Murray Hill Academy has a unique admissions model: 80% of the students are admitted through the High School Admissions process and 20% are admitted as transfer students throughout the year. Our school offers students a challenging curriculum with blended learning. We learn inside and outside the traditional classroom, including online courses with in-school mentors and internships. We are committed to academic progress, as well as the social and emotional growth of our students. Our goal is to have our students graduate prepared for college and careers and ready to become successful and productive citizens. Every child can fulfill his/her potential, one successful step at a time.",Spanish,Murray Hill-Kips Bay,"111 East 33rd Street, Manhattan NY 10016 (40.74651, -73.98107)",212-696-0195,www.mhacademy.net,290,MANHATTAN
School for International Studies,"Our school serves 500 students in grades six to twelve. With the implementation of the International Baccalaureate (IB) philosophy and framework, we support learning for all students. We are a community of enthusiastic educators with tight-knit grade level and department teaching teams. Our small class size (usually 22-25 students) helps students master their coursework. They graduate as socially conscious leaders, equipped with the intellectual tools and academic and critical thinking skills necessary to make meaningful change in today's dynamic, interdependent world. Our full-time college advisor and our guidance counselors assist all students in planning for college and the world of work.","Chinese (Mandarin), French, Spanish",DUMBO-Downtown Brooklyn,"284 Baltic Street, Brooklyn NY 11201 (40.685006, -73.993293)",718-330-9390,www.K497.org,486,BROOKLYN 
High School for Community Leadership,High School for Community Leadership (HSCL) encourages the development of well-rounded individuals who are prepared for university success and capable of exercising leadership in the global community.,"French, Spanish",Briarwood-Jamaica Hills,"167-01 Gothic Drive, Jamaica NY 11432 (40.714551, -73.798658)",718-558-9801,www.nychscl.org,444,QUEENS   
Newcomers High School,"Newcomers is internationally recognized for the exceptional quality of teaching, learning, and support services for English Language Learners offered at the school. The outstanding educational program provides a pathway for new immigrants to pursue their academic dreams. Recognizing that students initially face challenges when transitioning to a new educational, social, linguistic, and cultural setting, one essential component of the school is an orientation program that begins on the first day. The program eases the transition to a new school and assists students in acquiring necessary survival skills, from learning about the subway system to adopting key phrases to help them function in their daily lives.","Chinese (Mandarin), Spanish",Queensbridge-LIC,"28-01 41st Avenue, Long Island City NY 11101 (40.751838, -73.936592)",718-937-6005,newcomershs.schoolwires.net,891,QUEENS   
Academy for Careers in Television and Film (ACTV),"Our school prepares students for careers in movie and television production. As a small school, we provide individualized academic support and extensive career mentoring. Students learn by working alongside industry professionals with state-of-the-art equipment. Our career programs are complemented by academic classes which prepare students for competitive colleges and careers. Teachers use films in classes to enhance lessons and our school is a leader in using technology in innovative ways to support learning.","Italian, Spanish",Hunters Point-Sunnyside,"1-50 51St Avenue, Long Island City NY 11101  (40.742964, -73.959183)",718-609-3330,www.actvf.org,545,QUEENS   
Queens Vocational and Technical High School,"Â“QV is a family. The teachers are always eager to help at a momentÂ’s notice and are very kindhearted and professional. I felt safe and at home when I was there as a student. With all of the trades available, the possibilities are endless. After the best four years of my life, with the help of all of my wonderful teachers, I became a skilled, outspoken, confident individual and a leader. QV made me into a hardworking young man, ready for whatever life throws at me.Â” Â– Khiran Samsundar, Class of 2013",Spanish,Hunters Point-Sunnyside,"37-02 47th Avenue, Long Island City NY 11101 (40.741658, -73.927995)",718-937-3010,www.queensvoc.org,"1,575",QUEENS   
Antonia Pantoja Preparatory Academy: A College Board School,"Antonia Pantoja Preparatory Academy (APPA) is a college preparatory school offering a continuum of instruction from middle school through high school, with a focus on preparing students to compete and succeed in a global workforce. Our program develops fully multilingual and biliterate students through an integration of social learning experiences. Students participate in programs designed to enhance their understanding of the real world in order to develop critical thinking and problem solving skills, so that they may become productive members of society.",Spanish,Castle Hill-Clason Point,"1980 Lafayette Avenue, Bronx NY 10473 (40.821218, -73.85593)",718-824-3152,schools.nyc.gov/schoolportals/08/X376,415,BRONX    
Eagle Academy for Young Men,"The mission of The Eagle Academy for Young Men is to develop young men committed to the pursuit of academic excellence, strong character, and responsible leadership. We are focused and committed to the schoolÂ’s guiding principles of: Academic Excellence, Mentoring, Leadership, Integrity, Character Development and Community Service. The Eagle Academy prepares its students to join the ranks of future leaders in society. Professionals from a wide array of careers act as mentors to provide scholarship and internship opportunities; they are successful male role models who partner with students in their development inside and outside of the classroom environment.","French, Spanish",Claremont-Bathgate,"4143 Third Avenue, Bronx NY 10457 (40.845366, -73.897479)",718-466-8000,www.eaglebronx.org,568,BRONX    
School for Excellence,"Our students participate in civic and interactive educational fieldwork in order to gain academic, social, and cultural experiences. We provide multicultural curricula that integrate the arts in academic classes, extended periods, small classes, computers, SMART Boards, advisory support, and an extended-day program. We use traditional assessments as well as portfolio assessments to prepare students for Regents Exams. We prepare students for college starting in 9th grade with counseling and overnight trips to colleges. Our students are prepared for higher education and careers and are ready to assume their roles as citizens of our country and the world.",Spanish,Morrisania-Melrose,"1110 Boston Road, Bronx NY 10456 (40.827455, -73.90392)",718-860-1385,www.sfe-morriscampus.org,392,BRONX    
W. H. Maxwell Career and Technical Education High School,"Maxwell's mission is to ensure that all students are college and career-ready and prepared to become productive citizens in a competitive global economy. The school's vision is to promote our core values of Equity, Excellence, and High Expectations within a positive educational environment, thus creating a professional learning community in which dignity and respect truly reflect the value of each individual. We are a College Bound School.",Spanish,East New York,"145 Pennsylvania Avenue, Brooklyn NY 11207 (40.673766, -73.895976)",718-345-9100,www.maxwellhs.org,498,BROOKLYN 
Sunset Park High School,"Sunset Park High School is a diverse and inclusive school that prepares all students for post-secondary options and the challenging demands of a changing world. Our school is divided into three small learning communities for grades 9-11 that use teams of teachers to provide personal attention, including advisory, to each student. Daily instruction builds foundational skills while focusing on the habits of critical thinking necessary for success in college and beyond. Our school is committed to college readiness, parent engagement, and community involvement.",Spanish,Sunset Park West,"153 35th Street, Brooklyn NY 11232 (40.655583, -74.004342)",718-840-1900,www.sunsetparkhighschool.org,"1,314",BROOKLYN 
